studyName,Date,Time GMT,Island,Colony,Adults,Chicks
PAL9192,1992-01-26,1700,CHR,1.0,166,306
PAL9192,1992-01-26,1700,CHR,2.0,53,90
PAL9192,1992-01-26,1700,CHR,3.0,138,208
PAL9192,1992-01-26,1700,CHR,4.1,17,29
PAL9192,1992-01-26,1700,CHR,5.0,32,32
PAL9192,1992-01-26,1700,CHR,6.0,100,172
PAL9192,1992-01-26,1700,CHR,7.0,303,407
PAL9192,1992-01-26,1700,CHR,7.1,27,30
PAL9192,1992-01-26,1700,CHR,7.2,65,97
PAL9192,1992-01-26,1700,CHR,8.0,143,227
PAL9192,1992-01-26,1700,CHR,9.1,79,63
PAL9192,1992-01-26,1700,CHR,10.0,15,13
PAL9192,1992-01-26,1700,CHR,11.0,24,10
PAL9192,1992-01-26,1430,COR,1.0,5,4
PAL9192,1992-01-26,1430,COR,2.0,82,119
PAL9192,1992-01-26,1430,COR,3.0,45,48
PAL9192,1992-01-26,1430,COR,4.0,12,29
PAL9192,1992-01-26,1430,COR,5.0,370,386
PAL9192,1992-01-26,1430,COR,5.1,151,173
PAL9192,1992-01-26,1430,COR,6.0,110,116
PAL9192,1992-01-26,1130,HUM,1.1,10,20
PAL9192,1992-01-26,1130,HUM,1.2,11,39
PAL9192,1992-01-26,1130,HUM,1.3,7,7
PAL9192,1992-01-26,1130,HUM,2.1,86,183
PAL9192,1992-01-26,1130,HUM,2.2,35,97
PAL9192,1992-01-26,1130,HUM,3.0,145,409
PAL9192,1992-01-26,1130,HUM,3.1,45,99
PAL9192,1992-01-26,1130,HUM,4.0,59,149
PAL9192,1992-01-26,1130,HUM,5.0,185,476
PAL9192,1992-01-26,2000,LIT,1.0,14,11
PAL9192,1992-01-26,2000,LIT,2.0,21,29
PAL9192,1992-01-26,2000,LIT,3.0,0,0
PAL9192,1992-01-26,2000,LIT,4.0,21,31
PAL9192,1992-01-26,2000,LIT,5.0,40,99
PAL9192,1992-01-26,2000,LIT,6.0,80,135
PAL9192,1992-01-26,2000,LIT,7.0,31,71
PAL9192,1992-01-26,2000,LIT,8.0,42,141
PAL9192,1992-01-26,2000,LIT,9.0,17,25
PAL9192,1992-01-26,800,TOR,1.0,122,162
PAL9192,1992-01-26,800,TOR,2.0,42,71
PAL9192,1992-01-26,800,TOR,3.0,27,30
PAL9192,1992-01-26,800,TOR,4.0,234,378
PAL9192,1992-01-26,800,TOR,5.0,85,144
PAL9192,1992-01-26,800,TOR,12.0,155,265
PAL9192,1992-01-26,800,TOR,13.0,193,339
PAL9192,1992-01-26,800,TOR,15.0,113,210
PAL9192,1992-01-26,800,TOR,17.0,15,25
PAL9192,1992-01-26,800,TOR,20.0,184,318
PAL9192,1992-01-26,800,TOR,21.0,89,189
PAL9192,1992-01-26,800,TOR,22.0,58,134
PAL9192,1992-01-26,800,TOR,23.0,172,203
PAL9192,1992-01-26,800,TOR,23.1,19,25
PAL9293,1993-01-26,1100,CHR,1.0,281,307
PAL9293,1993-01-26,1100,CHR,2.0,102,90
PAL9293,1993-01-26,1100,CHR,3.0,216,210
PAL9293,1993-01-26,1100,CHR,4.1,35,30
PAL9293,1993-01-26,1100,CHR,5.0,39,41
PAL9293,1993-01-26,1100,CHR,6.0,149,155
PAL9293,1993-01-26,1100,CHR,7.0,386,362
PAL9293,1993-01-26,1100,CHR,7.1,38,30
PAL9293,1993-01-26,1100,CHR,7.2,107,90
PAL9293,1993-01-26,1100,CHR,8.0,218,228
PAL9293,1993-01-26,1100,CHR,9.1,31,17
PAL9293,1993-01-26,1100,CHR,10.0,21,10
PAL9293,1993-01-26,1100,CHR,11.0,18,0
PAL9293,1993-01-26,1000,COR,1.0,8,5
PAL9293,1993-01-26,1000,COR,2.0,86,119
PAL9293,1993-01-26,1000,COR,3.0,55,50
PAL9293,1993-01-26,1000,COR,4.0,15,25
PAL9293,1993-01-26,1000,COR,5.0,342,356
PAL9293,1993-01-26,1000,COR,5.1,141,167
PAL9293,1993-01-26,1000,COR,6.0,148,141
PAL9293,1993-01-26,1300,HUM,1.1,24,15
PAL9293,1993-01-26,1300,HUM,1.2,20,39
PAL9293,1993-01-26,1300,HUM,1.3,6,7
PAL9293,1993-01-26,1300,HUM,2.1,60,195
PAL9293,1993-01-26,1300,HUM,2.2,35,109
PAL9293,1993-01-26,1300,HUM,3.0,197,451
PAL9293,1993-01-26,1300,HUM,3.1,65,82
PAL9293,1993-01-26,1300,HUM,4.0,140,168
PAL9293,1993-01-26,1300,HUM,5.0,210,524
PAL9293,1993-01-26,1400,LIT,1.0,36,32
PAL9293,1993-01-26,1400,LIT,2.0,21,9
PAL9293,1993-01-26,1400,LIT,3.0,0,0
PAL9293,1993-01-26,1400,LIT,4.0,41,25
PAL9293,1993-01-26,1400,LIT,5.0,75,105
PAL9293,1993-01-26,1400,LIT,6.0,94,135
PAL9293,1993-01-26,1400,LIT,7.0,52,82
PAL9293,1993-01-26,1400,LIT,8.0,93,148
PAL9293,1993-01-26,1400,LIT,9.0,21,9
PAL9293,1993-01-26,1500,TOR,1.0,119,205
PAL9293,1993-01-26,1500,TOR,2.0,47,64
PAL9293,1993-01-26,1500,TOR,3.0,23,26
PAL9293,1993-01-26,1500,TOR,4.0,237,441
PAL9293,1993-01-26,1500,TOR,5.0,133,170
PAL9293,1993-01-26,1500,TOR,12.0,185,285
PAL9293,1993-01-26,1500,TOR,13.0,212,334
PAL9293,1993-01-26,1500,TOR,15.0,195,252
PAL9293,1993-01-26,1500,TOR,17.0,24,30
PAL9293,1993-01-26,1500,TOR,20.0,219,317
PAL9293,1993-01-26,1500,TOR,21.0,180,207
PAL9293,1993-01-26,1500,TOR,22.0,156,109
PAL9293,1993-01-26,1500,TOR,23.0,167,282
PAL9293,1993-01-26,1500,TOR,23.1,28,29
PAL9394,1994-01-22,1500,LIT,1.0,19,11
PAL9394,1994-01-22,1500,LIT,2.0,37,28
PAL9394,1994-01-22,1500,LIT,3.0,0,0
PAL9394,1994-01-22,1500,LIT,4.0,32,20
PAL9394,1994-01-22,1500,LIT,5.0,113,80
PAL9394,1994-01-22,1500,LIT,6.0,130,104
PAL9394,1994-01-22,1500,LIT,7.0,72,76
PAL9394,1994-01-22,1500,LIT,8.0,147,138
PAL9394,1994-01-22,1500,LIT,9.0,33,24
PAL9394,1994-01-23,1200,CHR,1.0,184,310
PAL9394,1994-01-23,1200,CHR,2.0,49,96
PAL9394,1994-01-23,1200,CHR,3.0,128,130
PAL9394,1994-01-23,1200,CHR,4.1,13,26
PAL9394,1994-01-23,1200,CHR,5.0,28,43
PAL9394,1994-01-23,1200,CHR,6.0,104,161
PAL9394,1994-01-23,1200,CHR,7.0,302,410
PAL9394,1994-01-23,1200,CHR,7.1,25,34
PAL9394,1994-01-23,1200,CHR,7.2,41,101
PAL9394,1994-01-23,1200,CHR,8.0,180,214
PAL9394,1994-01-23,1200,CHR,9.1,33,12
PAL9394,1994-01-23,1200,CHR,10.0,13,2
PAL9394,1994-01-23,1200,CHR,11.0,4,0
PAL9394,1994-01-23,1430,COR,1.0,10,10
PAL9394,1994-01-23,1430,COR,2.0,98,121
PAL9394,1994-01-23,1430,COR,3.0,44,55
PAL9394,1994-01-23,1430,COR,4.0,12,27
PAL9394,1994-01-23,1430,COR,5.0,357,365
PAL9394,1994-01-23,1430,COR,5.1,163,183
PAL9394,1994-01-23,1430,COR,6.0,101,86
PAL9394,1994-01-23,1400,HUM,1.1,20,26
PAL9394,1994-01-23,1400,HUM,1.2,30,48
PAL9394,1994-01-23,1400,HUM,1.3,7,7
PAL9394,1994-01-23,1400,HUM,2.1,85,201
PAL9394,1994-01-23,1400,HUM,2.2,57,109
PAL9394,1994-01-23,1400,HUM,3.0,201,364
PAL9394,1994-01-23,1400,HUM,3.1,65,82
PAL9394,1994-01-23,1400,HUM,4.0,233,138
PAL9394,1994-01-23,1400,HUM,5.0,151,350
PAL9394,1994-01-23,1630,TOR,1.0,132,111
PAL9394,1994-01-23,1630,TOR,2.0,46,65
PAL9394,1994-01-23,1630,TOR,3.0,28,25
PAL9394,1994-01-23,1630,TOR,4.0,290,330
PAL9394,1994-01-23,1630,TOR,5.0,118,157
PAL9394,1994-01-23,1630,TOR,12.0,0,285
PAL9394,1994-01-23,1630,TOR,12.0,187,285
PAL9394,1994-01-23,1630,TOR,13.0,0,328
PAL9394,1994-01-23,1630,TOR,13.0,213,328
PAL9394,1994-01-23,1630,TOR,15.0,160,204
PAL9394,1994-01-23,1630,TOR,17.0,16,32
PAL9394,1994-01-23,1630,TOR,18.0,0,419
PAL9394,1994-01-23,1630,TOR,19.0,0,677
PAL9394,1994-01-23,1630,TOR,20.0,195,264
PAL9394,1994-01-23,1630,TOR,21.0,82,190
PAL9394,1994-01-23,1630,TOR,22.0,67,135
PAL9394,1994-01-23,1630,TOR,23.0,221,256
PAL9394,1994-01-23,1630,TOR,23.1,24,20
PAL9495,1995-01-16,1100,HUM,1.1,16,21
PAL9495,1995-01-16,1100,HUM,1.2,32,41
PAL9495,1995-01-16,1100,HUM,1.3,4,7
PAL9495,1995-01-16,1100,HUM,2.1,79,173
PAL9495,1995-01-16,1100,HUM,2.2,33,103
PAL9495,1995-01-16,1100,HUM,3.0,140,391
PAL9495,1995-01-16,1100,HUM,3.1,4,6
PAL9495,1995-01-16,1100,HUM,4.0,107,212
PAL9495,1995-01-16,1100,HUM,5.0,187,427
PAL9495,1995-01-16,1430,TOR,1.0,95,148
PAL9495,1995-01-16,1430,TOR,2.0,45,50
PAL9495,1995-01-16,1430,TOR,3.0,19,17
PAL9495,1995-01-16,1430,TOR,4.0,184,283
PAL9495,1995-01-16,1430,TOR,5.0,72,170
PAL9495,1995-01-16,1430,TOR,12.0,144,284
PAL9495,1995-01-16,1430,TOR,13.0,199,317
PAL9495,1995-01-16,1430,TOR,15.0,83,322
PAL9495,1995-01-16,1430,TOR,17.0,12,26
PAL9495,1995-01-16,1430,TOR,18.0,129,353
PAL9495,1995-01-16,1430,TOR,19.0,254,667
PAL9495,1995-01-16,1430,TOR,20.0,130,262
PAL9495,1995-01-16,1430,TOR,21.0,90,194
PAL9495,1995-01-16,1430,TOR,22.0,73,121
PAL9495,1995-01-16,1430,TOR,23.0,131,268
PAL9495,1995-01-16,1430,TOR,23.1,20,31
PAL9495,1995-01-17,1200,CHR,1.0,156,267
PAL9495,1995-01-17,1200,CHR,2.0,53,84
PAL9495,1995-01-17,1200,CHR,3.0,97,168
PAL9495,1995-01-17,,CHR,3.1,0,0
PAL9495,1995-01-17,1200,CHR,4.1,16,19
PAL9495,1995-01-17,1200,CHR,5.0,50,50
PAL9495,1995-01-17,1200,CHR,6.0,106,160
PAL9495,1995-01-17,1200,CHR,7.0,242,435
PAL9495,1995-01-17,1200,CHR,7.1,26,33
PAL9495,1995-01-17,1200,CHR,7.2,53,100
PAL9495,1995-01-17,1200,CHR,8.0,141,234
PAL9495,1995-01-17,1200,CHR,9.1,29,49
PAL9495,1995-01-17,1200,CHR,10.0,13,13
PAL9495,1995-01-17,1200,CHR,11.0,4,3
PAL9495,1995-01-17,1000,COR,1.0,8,10
PAL9495,1995-01-17,1000,COR,2.0,71,108
PAL9495,1995-01-17,1000,COR,3.0,39,46
PAL9495,1995-01-17,1000,COR,4.0,15,21
PAL9495,1995-01-17,1000,COR,5.0,294,404
PAL9495,1995-01-17,1000,COR,5.1,117,190
PAL9495,1995-01-17,1000,COR,6.0,76,117
PAL9495,1995-01-17,1200,LIT,1.0,8,12
PAL9495,1995-01-17,1200,LIT,2.0,28,24
PAL9495,1995-01-17,1200,LIT,3.0,0,0
PAL9495,1995-01-17,1200,LIT,4.0,19,12
PAL9495,1995-01-17,1200,LIT,5.0,71,77
PAL9495,1995-01-17,1200,LIT,6.0,76,111
PAL9495,1995-01-17,1200,LIT,7.0,58,73
PAL9495,1995-01-17,1200,LIT,8.0,95,162
PAL9495,1995-01-17,1200,LIT,9.0,32,29
PAL9596,1996-01-18,1300,CHR,1.0,225,310
PAL9596,1996-01-18,1300,CHR,2.0,50,90
PAL9596,1996-01-18,1300,CHR,3.0,20,69
PAL9596,1996-01-18,1300,CHR,3.1,40,92
PAL9596,1996-01-18,1300,CHR,4.1,2,2
PAL9596,1996-01-18,1300,CHR,5.0,7,58
PAL9596,1996-01-18,1300,CHR,6.0,57,168
PAL9596,1996-01-18,1300,CHR,7.0,142,470
PAL9596,1996-01-18,1300,CHR,7.1,17,30
PAL9596,1996-01-18,1300,CHR,7.2,28,99
PAL9596,1996-01-18,1300,CHR,8.0,83,229
PAL9596,1996-01-18,1300,CHR,9.1,20,55
PAL9596,1996-01-18,1300,CHR,10.0,4,10
PAL9596,1996-01-18,1300,CHR,11.0,4,4
PAL9596,1996-01-18,1100,COR,1.0,5,8
PAL9596,1996-01-18,1100,COR,2.0,36,113
PAL9596,1996-01-18,1100,COR,3.0,28,54
PAL9596,1996-01-18,1100,COR,4.0,11,25
PAL9596,1996-01-18,1100,COR,5.0,143,399
PAL9596,1996-01-18,1100,COR,5.1,68,187
PAL9596,1996-01-18,1100,COR,6.0,44,102
PAL9596,1996-01-18,1600,HUM,1.1,5,4
PAL9596,1996-01-18,1600,HUM,1.2,6,26
PAL9596,1996-01-18,1600,HUM,1.3,0,0
PAL9596,1996-01-18,1600,HUM,2.1,15,169
PAL9596,1996-01-18,1600,HUM,2.2,11,98
PAL9596,1996-01-18,1600,HUM,3.0,60,415
PAL9596,1996-01-18,1600,HUM,3.1,0,0
PAL9596,1996-01-18,1600,HUM,4.0,56,205
PAL9596,1996-01-18,1600,HUM,5.0,75,426
PAL9596,1996-01-18,1700,TOR,1.0,68,141
PAL9596,1996-01-18,1700,TOR,2.0,17,40
PAL9596,1996-01-18,1700,TOR,3.0,21,11
PAL9596,1996-01-18,1700,TOR,4.0,102,279
PAL9596,1996-01-18,1700,TOR,5.0,35,108
PAL9596,1996-01-18,1700,TOR,12.0,81,275
PAL9596,1996-01-18,1700,TOR,13.0,101,288
PAL9596,1996-01-18,1700,TOR,15.0,55,223
PAL9596,1996-01-18,1700,TOR,17.0,2,17
PAL9596,1996-01-18,1700,TOR,18.0,118,350
PAL9596,1996-01-18,1700,TOR,19.0,150,713
PAL9596,1996-01-18,1700,TOR,20.0,82,246
PAL9596,1996-01-18,1700,TOR,21.0,34,146
PAL9596,1996-01-18,1700,TOR,22.0,51,85
PAL9596,1996-01-18,1700,TOR,23.0,122,233
PAL9596,1996-01-18,1700,TOR,23.1,3,27
PAL9596,1996-01-20,1100,LIT,1.0,6,14
PAL9596,1996-01-20,1100,LIT,2.0,18,29
PAL9596,1996-01-20,,LIT,3.0,0,0
PAL9596,1996-01-20,1100,LIT,4.0,12,29
PAL9596,1996-01-20,1100,LIT,5.0,26,102
PAL9596,1996-01-20,1100,LIT,6.0,44,148
PAL9596,1996-01-20,1100,LIT,7.0,27,71
PAL9596,1996-01-20,1100,LIT,8.0,35,141
PAL9596,1996-01-20,1100,LIT,9.0,25,31
PAL9697,1997-01-25,1100,CHR,1.0,103,252
PAL9697,1997-01-25,1100,CHR,2.0,34,70
PAL9697,1997-01-25,1100,CHR,3.0,31,82
PAL9697,1997-01-25,1100,CHR,3.1,33,54
PAL9697,1997-01-25,1100,CHR,4.1,4,6
PAL9697,1997-01-25,1100,CHR,5.0,25,52
PAL9697,1997-01-25,1100,CHR,6.0,55,142
PAL9697,1997-01-25,1100,CHR,7.0,114,404
PAL9697,1997-01-25,1100,CHR,7.1,14,24
PAL9697,1997-01-25,1100,CHR,7.2,39,67
PAL9697,1997-01-25,1100,CHR,8.0,92,208
PAL9697,1997-01-25,1100,CHR,9.1,22,49
PAL9697,1997-01-25,1100,CHR,10.0,4,10
PAL9697,1997-01-25,1100,CHR,11.0,4,2
PAL9697,1997-01-25,1000,COR,1.0,4,3
PAL9697,1997-01-25,1000,COR,2.0,39,103
PAL9697,1997-01-25,1000,COR,3.0,39,48
PAL9697,1997-01-25,1000,COR,4.0,4,4
PAL9697,1997-01-25,1000,COR,5.0,211,385
PAL9697,1997-01-25,1000,COR,5.1,91,174
PAL9697,1997-01-25,1000,COR,6.0,58,85
PAL9697,1997-01-25,1300,HUM,1.1,0,0
PAL9697,1997-01-25,1300,HUM,1.2,2,3
PAL9697,1997-01-25,1300,HUM,1.3,0,0
PAL9697,1997-01-25,1300,HUM,2.1,38,107
PAL9697,1997-01-25,1300,HUM,2.2,8,91
PAL9697,1997-01-25,1300,HUM,3.0,54,326
PAL9697,1997-01-25,1300,HUM,3.1,6,3
PAL9697,1997-01-25,1300,HUM,4.0,31,188
PAL9697,1997-01-25,1300,HUM,5.0,85,345
PAL9697,1997-01-25,1200,LIT,1.0,11,6
PAL9697,1997-01-25,1200,LIT,2.0,19,23
PAL9697,1997-01-25,,LIT,3.0,0,0
PAL9697,1997-01-25,1200,LIT,4.0,8,21
PAL9697,1997-01-25,1200,LIT,5.0,45,82
PAL9697,1997-01-25,1200,LIT,6.0,50,105
PAL9697,1997-01-25,1200,LIT,7.0,42,55
PAL9697,1997-01-25,1200,LIT,8.0,19,147
PAL9697,1997-01-25,1200,LIT,9.0,25,27
PAL9697,1997-01-25,1500,TOR,1.0,41,75
PAL9697,1997-01-25,1500,TOR,2.0,6,4
PAL9697,1997-01-25,1500,TOR,3.0,3,4
PAL9697,1997-01-25,1500,TOR,4.0,113,188
PAL9697,1997-01-25,1500,TOR,5.0,41,73
PAL9697,1997-01-25,1500,TOR,12.0,89,271
PAL9697,1997-01-25,1500,TOR,13.0,83,212
PAL9697,1997-01-25,1500,TOR,15.0,54,139
PAL9697,1997-01-25,1500,TOR,17.0,3,7
PAL9697,1997-01-25,1500,TOR,18.0,82,327
PAL9697,1997-01-25,1500,TOR,19.0,198,608
PAL9697,1997-01-25,1500,TOR,20.0,81,207
PAL9697,1997-01-25,1500,TOR,21.0,30,98
PAL9697,1997-01-25,1500,TOR,22.0,23,42
PAL9697,1997-01-25,1500,TOR,23.0,73,216
PAL9697,1997-01-25,1500,TOR,23.1,14,4
PAL9798,1997-01-29,1400,LIT,8.0,70,161
PAL9798,1997-01-29,1400,LIT,9.0,28,22
PAL9798,1998-01-29,1400,LIT,1.0,6,12
PAL9798,1998-01-29,1400,LIT,2.0,19,19
PAL9798,1998-01-29,,LIT,3.0,0,0
PAL9798,1998-01-29,1400,LIT,4.0,33,49
PAL9798,1998-01-29,1400,LIT,5.0,34,84
PAL9798,1998-01-29,1400,LIT,6.0,58,114
PAL9798,1998-01-29,1400,LIT,7.0,50,50
PAL9798,1998-01-30,1000,HUM,1.1,0,0
PAL9798,1998-01-30,1000,HUM,1.2,0,0
PAL9798,1998-01-30,1000,HUM,1.3,0,0
PAL9798,1998-01-30,1000,HUM,2.1,145,170
PAL9798,1998-01-30,1000,HUM,2.2,42,70
PAL9798,1998-01-30,1000,HUM,3.0,145,335
PAL9798,1998-01-30,1000,HUM,3.1,4,1
PAL9798,1998-01-30,1000,HUM,4.0,77,141
PAL9798,1998-01-30,1000,HUM,5.0,172,342
PAL9798,1998-01-30,1200,TOR,1.0,75,74
PAL9798,1998-01-30,1200,TOR,2.0,0,0
PAL9798,1998-01-30,1200,TOR,3.0,7,2
PAL9798,1998-01-30,1200,TOR,4.0,141,173
PAL9798,1998-01-30,1200,TOR,5.0,64,58
PAL9798,1998-01-30,1200,TOR,12.0,163,256
PAL9798,1998-01-30,1200,TOR,13.0,172,167
PAL9798,1998-01-30,1200,TOR,15.0,99,140
PAL9798,1998-01-30,1200,TOR,17.0,7,3
PAL9798,1998-01-30,1200,TOR,18.0,134,314
PAL9798,1998-01-30,1200,TOR,19.0,267,590
PAL9798,1998-01-30,1200,TOR,20.0,205,196
PAL9798,1998-01-30,1200,TOR,21.0,41,86
PAL9798,1998-01-30,1200,TOR,22.0,29,30
PAL9798,1998-01-30,1200,TOR,23.0,150,220
PAL9798,1998-01-30,1200,TOR,23.1,15,4
PAL9798,1998-02-03,1300,CHR,1.0,109,231
